OTU,Size,Phylum,Class,Order,Family,Genus
Otu02674,34,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu02675,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02676,34,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_,Clostridium_sensu_stricto
Otu02677,34,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
Otu02678,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02679,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02680,34,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
Otu02681,34,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02682,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02683,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02684,34,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
Otu02685,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02686,34,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02687,34,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02688,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02689,34,Planctomycetes,Planctomycetes,Planctomycetes,Planctomycetes,Planctomycetes
Otu02690,34,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae
Otu02691,34,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacteraceae
Otu02692,34,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02693,34,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02694,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02695,34,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02696,34,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02697,34,Verrucomicrobia,Opitutae,Opitutae,Opitutae,Opitutae
Otu02698,34,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu02699,34,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02700,34,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_Sedis_XI,Gemella
Otu02701,34,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales
Otu02702,34,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02703,34,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02704,34,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02705,34,Bacteroidetes,Cytophagia,Cytophagales,Cytophagales,Cytophagales
Otu02706,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Otu02707,34,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02708,34,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae
Otu02709,33,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu02710,33,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02711,33,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02712,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02713,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02714,33,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu02715,33,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydiaceae
Otu02716,33,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02717,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02718,33,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu02719,33,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Otu02720,33,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02721,33,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02722,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02723,33,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
Otu02724,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02725,33,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu02726,33,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02727,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02728,33,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu02729,33,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix
Otu02730,33,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp,Gp
Otu02731,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02732,33,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02733,33,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu02734,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02735,33,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydiaceae
Otu02736,33,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02737,33,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu02738,33,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Otu02739,33,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02740,33,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02741,33,Firmicutes,Bacilli,Bacillales,Bacillaceae_,Bacillus
Otu02742,33,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu02743,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02744,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02745,33,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02746,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02747,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02748,33,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae
Otu02749,33,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera
Otu02750,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02751,33,Bacteroidetes,Cytophagia,Cytophagales,Cytophagales0,Cytophagales
Otu02752,33,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02753,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02754,33,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales,Acidimicrobiales
Otu02755,33,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02756,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02757,33,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Otu02758,33,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula
Otu02759,33,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
Otu02760,33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02761,32,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Puniceicoccaceae
Otu02762,32,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae
Otu02763,32,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu02764,32,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02765,32,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea
Otu02766,32,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Puniceicoccaceae
Otu02767,32,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02768,32,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Rhodothermaceae,Rhodothermaceae
Otu02769,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02770,32,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02771,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02772,32,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02773,32,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Otu02774,32,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02775,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02776,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02777,32,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Otu02778,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02779,32,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02780,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02781,32,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu02782,32,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
