Frag.ID	Parent.ID	Treatment	Species	Time.Point
negative_35	353	High	Pavona_varians	T0
negative_37	322	Ambient	Porites_compressa	T1
negative_38	371	Ambient	Montipora_capitata	T0
negative_4	308	Ambient	Pocillopora_damicornis	T0
negative_40	365	High	Montipora_capitata	T0
negative_42	364	Ambient	Montipora_capitata	TF
negative_45	369	Ambient	Montipora_capitata	T1
negative_47	316	High	Porites_compressa	T0
negative_49	372	Ambient	Montipora_capitata	TF
negative_50	324	Ambient	Porites_compressa	T0
negative_55	318	High	Porites_compressa	TF
negative_56	309	Ambient	Pocillopora_damicornis	T0
negative_6	310	Ambient	Pocillopora_damicornis	T0
negative_60	318	High	Porites_compressa	T0
negative_63	364	Ambient	Montipora_capitata	T1
negative_64	366	High	Montipora_capitata	T0
negative_7	321	Ambient	Porites_compressa	T0
negative_72	368	High	Montipora_capitata	T0
negative_77	314	Ambient	Porites_compressa	TF
negative_78	324	Ambient	Porites_compressa	T1
negative_82	373	Ambient	Montipora_capitata	T0
negative_84	360	Ambient	Pavona_varians	T0
negative_85	311	Ambient	Pocillopora_damicornis	T0
negative_87	305	High	Pocillopora_damicornis	TEnd
negative_89	311	Ambient	Pocillopora_damicornis	T1
negative_9	363	High	Montipora_capitata	T0
negative_92	368	Ambient	Montipora_capitata	T1
negative_94	367	High	Montipora_capitata	T0
negative_96	368	Ambient	Montipora_capitata	TF
negative_97	305	High	Pocillopora_damicornis	TEnd
negative_98	317	Ambient	Porites_compressa	TF
368D_T1	NA	NA	Montipora_capitata	TF
